"Date","Victoria.St.West","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec"
"Tuesday,  1 January 2019",75,36,168,63,192,98,82,NA,15,182,197,14,43,16,32,168,232,NA,262,78,286,368,NA,257,505,566,247,542,37,1116,1119,12,29,86,30,155,104,1225,75,743,200,143,99,257
"Wednesday,  2 January 2019",79,29,280,58,343,132,93,NA,14,199,283,16,78,12,39,183,331,NA,343,71,457,343,NA,310,562,591,304,482,48,1107,1207,9,40,203,24,198,145,1245,109,750,174,240,80,210
"Thursday,  3 January 2019",99,15,258,144,261,157,114,NA,10,330,251,37,77,24,55,316,267,NA,281,69,361,347,NA,319,671,543,207,434,56,1048,673,16,32,150,34,193,207,1162,119,669,135,205,120,257
"Friday,  4 January 2019",65,23,281,149,263,151,101,NA,23,345,274,33,85,24,87,336,240,NA,319,91,358,358,NA,335,644,489,276,386,45,1101,733,23,27,163,22,156,211,1125,114,768,124,187,145,211
"Saturday,  5 January 2019",105,42,235,110,317,173,143,NA,20,258,240,22,76,28,51,242,350,NA,380,83,352,500,NA,266,626,744,234,405,49,1383,1119,7,30,150,47,232,170,1559,166,918,208,317,108,275
"Sunday,  6 January 2019",77,41,259,106,362,142,170,NA,11,256,300,16,78,20,55,269,438,NA,415,65,360,488,NA,279,686,852,231,487,26,1435,1075,11,27,169,27,240,159,1607,147,722,198,358,100,303
"Monday,  7 January 2019",146,37,383,306,304,408,103,NA,31,658,499,48,110,65,185,510,350,NA,358,17,635,333,NA,720,889,771,251,361,48,1654,1018,13,38,229,28,269,363,1561,179,787,210,125,238,281
"Tuesday,  8 January 2019",149,20,394,333,383,449,144,NA,26,661,568,61,100,45,196,541,364,NA,419,43,728,366,NA,800,1292,934,211,345,59,1818,1129,22,43,248,28,254,400,1793,206,899,182,252,259,306
"Wednesday,  9 January 2019",159,2,407,305,328,406,126,NA,29,670,542,56,102,58,191,570,363,NA,412,49,664,242,NA,757,1237,926,235,382,53,1775,1317,22,43,252,24,270,384,1707,188,915,154,197,254,273
"Thursday, 10 January 2019",174,7,358,294,364,455,122,NA,23,675,520,60,86,54,199,542,283,NA,408,42,739,409,NA,806,1186,845,220,357,72,1881,1449,14,55,211,39,261,375,1731,212,897,199,183,283,270
"Friday, 11 January 2019",161,17,320,249,282,367,123,NA,39,567,467,58,106,45,181,554,331,NA,365,55,582,328,NA,668,992,765,254,311,64,1477,1486,9,36,215,35,227,349,1485,164,924,150,109,228,261
"Saturday, 12 January 2019",81,21,254,106,311,153,177,NA,17,282,278,30,76,38,72,274,327,NA,485,61,394,611,NA,339,616,761,233,411,49,1493,1123,11,39,194,50,267,168,1665,166,1006,181,292,94,276
"Sunday, 13 January 2019",88,12,265,88,423,177,125,NA,24,268,328,30,74,15,67,309,362,NA,421,41,431,643,NA,337,671,949,200,506,46,1374,1079,10,32,138,30,236,156,1508,156,916,253,362,117,309
"Monday, 14 January 2019",116,17,302,265,205,415,93,NA,10,516,399,78,79,51,185,486,225,NA,320,11,673,229,NA,754,1328,609,110,277,50,1112,905,22,40,198,38,140,319,1024,206,1200,147,68,257,175
"Tuesday, 15 January 2019",187,18,439,349,353,481,145,NA,18,696,597,72,96,60,236,616,333,NA,448,31,750,356,NA,883,1275,805,164,361,46,1623,967,18,35,306,44,207,444,1569,214,1684,136,170,329,292
"Wednesday, 16 January 2019",163,41,417,363,342,496,158,NA,23,727,624,86,98,54,224,589,411,NA,494,29,938,445,NA,1020,898,991,174,365,64,1778,1201,20,45,322,50,259,478,1779,274,891,125,173,302,309
"Thursday, 17 January 2019",176,17,153,385,373,474,123,NA,33,813,632,87,116,41,204,681,326,NA,433,10,839,380,NA,936,409,829,238,303,47,1559,1246,19,53,275,38,246,459,1663,263,880,163,197,308,291
"Friday, 18 January 2019",186,24,341,347,352,418,139,NA,48,712,520,92,99,48,218,590,331,NA,409,31,704,344,NA,872,754,789,187,305,44,1395,1606,10,42,252,53,238,396,1563,207,947,108,126,258,256
"Saturday, 19 January 2019",110,17,157,109,426,173,187,NA,35,279,302,35,81,35,89,347,447,NA,401,54,407,660,NA,400,705,889,227,382,54,1434,1161,15,48,207,22,221,163,1576,158,989,215,418,127,291
"Sunday, 20 January 2019",70,31,240,107,310,169,105,NA,38,250,314,24,84,32,70,293,429,NA,344,42,338,502,NA,264,765,694,215,519,74,1212,758,20,23,150,19,190,171,1223,127,784,209,333,106,284
"Monday, 21 January 2019",152,29,457,375,322,505,121,NA,41,724,604,92,81,56,241,613,311,NA,414,19,882,287,NA,1010,724,881,242,331,56,1656,1647,11,53,283,40,186,487,1425,235,930,554,140,323,253
"Tuesday, 22 January 2019",180,17,472,379,337,500,137,NA,67,786,584,107,87,55,233,638,365,NA,400,36,736,364,NA,990,1168,857,188,279,58,1717,1611,8,26,284,31,236,451,1524,210,922,138,192,307,284
"Wednesday, 23 January 2019",182,29,480,366,380,534,152,NA,71,772,652,98,85,59,265,630,496,NA,516,25,828,403,NA,962,1463,951,178,356,59,1779,1726,11,53,316,37,270,452,1677,233,1021,163,178,299,329
"Thursday, 24 January 2019",138,34,372,312,351,399,139,NA,34,612,465,114,100,50,220,556,272,NA,401,32,664,261,NA,775,1312,746,164,289,61,1498,1353,8,36,205,30,183,390,1488,183,841,118,125,240,199
"Friday, 25 January 2019",157,7,411,298,362,416,133,NA,38,655,541,105,89,50,196,535,343,NA,405,18,720,371,NA,886,1052,808,200,279,59,1642,1561,13,49,254,36,227,356,1544,187,985,154,152,281,263
"Saturday, 26 January 2019",110,8,281,110,335,186,157,NA,49,269,313,59,79,36,73,327,349,NA,439,46,332,564,NA,310,626,865,255,451,58,1263,1175,19,25,177,17,235,194,1467,124,1016,233,361,103,230
"Sunday, 27 January 2019",93,20,268,94,358,165,115,NA,46,275,304,33,76,7,68,295,332,NA,380,103,386,518,NA,341,575,869,315,549,44,1296,1314,12,27,141,21,253,173,1503,153,1047,157,333,137,330
"Monday, 28 January 2019",88,29,264,102,319,179,130,NA,23,203,295,27,62,15,75,260,256,NA,350,61,369,458,NA,399,671,736,218,539,30,1199,1229,22,29,135,26,259,158,1481,121,970,288,277,98,343
"Tuesday, 29 January 2019",173,58,467,376,381,441,145,NA,48,752,603,137,106,64,238,631,431,NA,489,10,777,403,NA,985,1419,985,164,302,61,1844,1702,13,44,304,37,276,493,1806,223,903,155,167,329,291
