"Date","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Rankin.Ave","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","Tamaki.Dr","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Waterview.Unitec","Westhaven.Dr","Victoria.St.West"
"Wed  1 Apr 2020",102,176,127,657,236,299,176,134,718,223,16,64,58,65,420,338,26,654,67,240,465,34,171,561,974,184,601,45,819,496,76,60,389,31,319,187,1489,196,49,343,271,63,429,NA,NA
"Thu  2 Apr 2020",111,152,141,730,197,275,162,162,737,212,22,47,54,63,396,231,23,654,74,252,473,28,196,566,912,192,560,46,836,463,60,75,365,26,310,158,1405,191,49,286,269,62,374,NA,NA
"Fri  3 Apr 2020",91,119,118,603,200,246,132,149,627,176,20,49,65,59,412,242,30,631,80,234,430,38,185,547,922,228,555,53,888,456,85,44,394,23,310,184,1436,177,68,306,236,58,440,NA,NA
"Sat  4 Apr 2020",85,216,127,1040,271,359,203,163,202,366,30,51,61,64,553,454,34,865,78,363,708,29,293,831,1263,241,579,55,1336,656,99,66,624,56,465,221,2202,242,94,311,441,65,689,NA,NA
"Sun  5 Apr 2020",119,211,167,1207,309,397,227,215,202,379,20,42,45,64,599,412,38,925,92,482,713,17,316,832,1236,195,628,58,1486,714,99,44,689,53,428,223,2185,274,103,343,417,70,725,NA,NA
"Mon  6 Apr 2020",89,128,100,485,172,278,107,133,679,166,13,39,61,47,362,262,30,549,48,197,452,30,140,498,710,205,521,58,681,381,70,45,377,44,266,171,921,163,36,247,204,43,401,NA,NA
"Tue  7 Apr 2020",98,140,127,765,221,323,150,185,789,211,28,45,52,54,421,302,22,577,79,262,475,39,198,588,928,195,583,64,803,514,53,54,503,44,344,190,1293,197,45,308,274,78,444,NA,NA
"Wed  8 Apr 2020",59,99,72,420,141,233,76,98,720,142,15,48,38,47,313,215,32,426,42,148,279,29,122,375,617,194,384,52,521,290,48,26,295,28,181,133,722,133,21,207,141,56,287,NA,NA
"Thu  9 Apr 2020",44,61,75,238,105,123,65,79,748,96,10,40,17,33,229,153,11,249,52,85,162,15,87,245,275,199,285,33,333,209,23,29,227,20,107,95,459,55,8,77,89,47,163,NA,NA
"Fri 10 Apr 2020",134,250,179,1281,294,515,199,260,635,436,24,39,52,78,642,464,27,937,134,491,775,18,378,842,1250,232,780,67,1193,744,106,59,786,38,481,282,2250,240,87,376,407,73,612,NA,NA
