"Date","Archibald.Park","Beach.Rd","Carlton.Gore.Rd","Curran.St","Dominion.Rd","East.Coast.Rd","Franklin.Rd","GI.TO.TAMAKI.DR.SECTION.1","Grafton.Bridge","Grafton.Gully","Grafton.Rd","Great.North.Rd","Great.South.Rd","Highbrook","Hopetoun.St","Karangahape.Rd","Lagoon.Dr","Lake.Rd","Lake.Rd.New","Leigh.Rd.Shared.Path","Lightpath","Mangere.Bridge","Mangere.Safe.Routes","Nelson.St","NW.Cycleway.Kingsland","NW.Cycleway.TeAtatu","Oceanview.Rd","Orewa.Path","Ormiston.Rd","Quay.St.Spark.Arena","Quay.St.Eco.Display.Classic","Queen.St.Pukekohe","Saint.Lukes.Rd","SH20A.Shared.Path","SW.Shared.Path","Symonds.St","TeAtatu.Peninsula","TeWero.Bridge.Bike","Twin.Streams","Upper.Harbour","Upper.Queen.St","Victoria.St.West","Waterview.Unitec","Westhaven.Dr","SH1.Karaka","SH20B","GI.to.Tamaki.Dr.Section.2","New.Lynn.to.Avondale.SUP"
2022-01-01,50,108,88,190,90,107,61,65,160,195,64,35,28,14,20,223,NA,5,295,58,200,327,16,234,390,528,85,395,42,611,NA,11,117,27,170,69,106,395,162,209,85,43,334,326,298,37,NA,NA
2022-01-02,43,155,89,249,86,121,83,58,196,232,51,45,50,35,39,313,NA,11,308,115,213,425,19,254,552,691,75,470,44,869,NA,23,133,40,247,100,171,483,203,221,98,81,408,364,316,69,NA,NA
2022-01-03,42,160,102,241,98,120,84,40,214,195,55,42,40,11,50,261,NA,16,331,136,188,332,26,223,580,691,63,472,51,883,NA,17,145,44,255,99,165,452,98,168,101,79,333,358,252,55,NA,NA
2022-01-04,33,180,100,240,126,116,98,26,202,212,49,48,50,28,50,272,NA,10,144,39,180,338,32,251,567,727,96,489,63,891,NA,22,117,36,213,110,161,451,137,194,109,71,380,394,257,47,NA,NA
2022-01-05,55,192,174,244,136,123,92,29,300,218,94,79,40,9,65,316,NA,9,139,87,260,7,29,302,655,642,115,388,61,751,NA,28,175,38,202,124,177,388,130,150,182,89,342,322,193,24,NA,NA
2022-01-06,57,173,150,221,162,106,119,23,316,225,97,79,42,18,69,326,NA,20,129,64,258,110,25,315,625,761,119,466,76,748,NA,17,159,28,223,141,188,433,134,249,159,74,404,380,263,43,NA,NA
2022-01-07,63,161,167,251,152,89,118,39,299,188,98,73,42,25,83,336,NA,19,136,27,228,128,26,295,590,669,134,370,63,735,NA,17,177,52,224,156,170,448,115,118,158,106,447,331,271,43,NA,NA
2022-01-08,47,193,154,274,143,124,135,17,252,254,78,55,24,23,47,345,NA,12,187,94,282,536,19,296,655,903,85,502,62,945,1167,20,142,43,301,113,183,459,164,295,132,84,487,392,282,109,NA,NA
2022-01-09,16,195,113,287,142,122,110,24,257,266,57,69,16,30,47,332,NA,17,167,112,239,402,18,305,607,885,75,520,65,934,1110,15,167,45,226,148,173,521,179,324,103,75,426,475,300,82,NA,NA
2022-01-10,103,258,258,192,254,105,206,10,428,310,136,82,58,39,106,438,NA,16,156,40,410,295,22,547,898,778,63,401,82,878,937,23,190,48,223,223,165,347,90,145,199,169,418,397,229,34,NA,NA
2022-01-11,83,276,337,256,282,131,235,18,507,349,138,104,54,29,135,436,NA,16,173,57,497,339,46,635,1068,888,96,364,76,1060,NA,16,267,45,240,283,203,370,116,208,268,176,468,443,256,41,NA,NA
2022-01-12,71,262,305,239,327,132,211,23,419,322,165,114,48,36,129,515,NA,26,197,39,475,304,27,633,913,860,115,315,87,993,NA,20,234,46,226,265,208,436,130,180,292,138,372,445,251,18,NA,NA
2022-01-13,48,297,337,279,311,128,184,34,518,340,143,117,40,33,133,546,NA,7,207,59,506,309,35,596,944,784,119,337,79,1059,NA,14,238,43,243,299,175,436,166,170,255,160,422,475,174,43,NA,NA
2022-01-14,53,281,271,255,271,89,199,48,438,358,147,133,38,35,127,469,NA,11,192,44,468,298,18,534,833,713,134,312,77,928,NA,9,195,48,228,258,185,412,130,139,226,161,438,387,220,28,NA,NA
2022-01-15,66,236,161,357,159,151,104,35,283,313,102,79,78,26,62,457,NA,18,220,93,307,575,26,359,761,1029,85,471,52,1024,NA,14,180,57,296,175,167,584,143,308,172,107,500,568,321,131,NA,NA
2022-01-16,38,235,149,355,171,164,93,40,293,348,94,82,54,23,55,367,NA,15,152,110,275,481,22,348,780,1022,75,464,49,1175,1233,10,205,38,329,126,176,667,231,352,134,87,577,602,454,89,NA,NA
2022-01-17,108,352,382,239,385,112,267,42,522,445,161,112,22,47,191,508,NA,22,179,34,640,358,26,877,1186,822,63,328,88,1193,1192,23,264,38,240,295,227,416,146,119,286,242,500,430,208,32,NA,NA
2022-01-18,58,398,423,317,429,138,306,71,649,521,175,144,60,41,172,567,NA,20,157,43,756,371,40,965,1460,1114,96,352,104,1356,1325,20,277,50,255,342,289,475,247,247,347,246,587,488,199,35,NA,NA
2022-01-19,79,400,434,285,488,106,282,73,634,523,177,167,150,55,184,574,NA,13,279,28,716,302,36,936,1314,1040,115,329,102,1340,1338,15,292,47,277,363,233,470,224,165,328,222,508,494,253,34,NA,NA
2022-01-20,57,364,386,266,444,124,318,34,557,459,158,130,156,39,171,555,NA,22,364,48,662,247,28,861,1168,829,119,247,96,1155,1180,21,270,34,242,295,220,347,193,121,285,229,481,469,204,23,NA,NA
2022-01-21,81,313,319,216,334,106,257,38,502,432,149,144,133,35,157,529,NA,29,380,68,532,254,17,734,963,778,134,272,91,1003,1346,17,254,38,204,294,184,481,116,136,266,192,409,354,140,28,NA,NA
2022-01-22,44,244,162,375,195,136,141,50,327,309,75,71,163,44,85,436,NA,17,471,46,348,650,26,393,790,1126,85,350,68,1044,1363,18,265,55,266,176,207,565,203,329,163,101,488,521,230,157,NA,NA
2022-01-23,39,197,141,264,207,153,156,50,272,253,67,73,128,21,78,408,NA,9,348,57,314,559,14,393,697,1198,75,456,53,814,1093,15,204,60,288,160,196,392,242,342,134,115,554,417,413,85,NA,NA
2022-01-24,30,145,187,101,195,55,119,23,275,177,95,64,162,21,122,342,NA,3,212,14,241,144,4,329,522,383,63,116,59,410,434,19,124,20,108,177,103,119,39,30,136,84,200,184,83,10,NA,NA
2022-01-25,30,189,269,178,295,60,184,49,397,264,109,96,153,31,145,482,NA,15,260,27,328,266,21,468,687,493,96,188,56,655,701,27,187,19,157,238,135,282,99,74,190,157,304,323,148,22,NA,NA
2022-01-26,40,274,279,269,310,85,263,60,415,354,150,105,160,39,110,531,NA,20,400,24,448,306,23,508,923,790,115,271,74,997,992,25,256,44,236,260,217,397,175,140,257,151,433,407,223,25,NA,NA
2022-01-27,80,285,255,208,318,89,212,51,462,362,136,99,170,33,126,455,NA,31,395,25,421,286,18,464,904,687,119,283,88,853,930,19,224,38,230,256,181,329,205,155,243,179,383,386,149,26,NA,NA
2022-01-28,45,264,262,243,321,85,194,32,428,343,133,104,184,38,138,471,NA,10,338,31,400,304,25,446,871,814,139,296,86,918,1089,17,232,37,255,293,179,423,149,162,272,144,473,402,198,35,NA,NA
2022-01-29,52,222,155,365,148,177,105,45,285,343,74,62,159,23,61,382,NA,13,451,64,345,598,14,398,888,995,167,505,58,973,1401,14,182,68,267,147,211,574,270,342,173,77,511,577,363,130,NA,NA
2022-01-30,43,244,135,335,127,117,99,85,260,276,88,51,154,39,57,327,NA,13,345,81,291,525,2,362,715,847,172,564,62,1130,1456,18,182,67,291,115,208,700,255,288,153,102,513,544,315,71,NA,NA
2022-01-31,41,200,110,353,159,122,135,51,240,248,69,69,112,31,62,348,NA,16,377,51,288,531,35,384,745,883,167,644,54,935,1234,28,181,47,316,137,206,594,238,239,124,96,490,492,359,61,NA,NA
2022-02-01,21,276,304,171,304,82,199,44,479,348,126,117,180,35,119,509,255,26,300,15,414,276,20,578,940,665,104,256,74,764,872,16,230,41,218,271,160,354,182,114,252,166,420,204,202,31,NA,NA
2022-02-02,56,296,335,193,305,103,184,47,519,370,138,112,190,39,133,505,238,28,344,6,464,371,37,652,1013,746,130,246,64,827,971,26,246,50,231,261,220,372,104,120,291,162,408,378,203,26,NA,NA
2022-02-03,59,248,316,252,349,95,172,35,504,337,131,137,197,27,146,517,175,23,433,30,447,319,21,581,1028,802,97,375,76,911,1038,22,240,37,208,268,202,388,178,145,255,187,417,413,216,26,NA,NA
2022-02-04,31,239,266,218,285,81,173,45,450,342,133,116,208,29,129,501,224,25,433,45,369,319,10,527,928,704,118,317,81,840,1027,25,233,41,217,257,194,358,123,139,252,165,394,383,155,18,NA,NA
2022-02-05,32,215,142,313,177,133,104,38,253,284,82,71,167,25,69,417,439,25,465,138,307,608,22,326,769,901,243,469,61,928,1201,18,175,34,329,184,189,549,235,315,134,96,489,511,279,143,NA,NA
2022-02-06,10,38,51,115,47,35,56,55,65,73,44,19,122,11,35,196,347,9,139,41,79,153,13,120,194,196,107,269,30,272,427,21,41,12,79,54,41,168,39,75,53,34,156,140,140,10,NA,NA
2022-02-07,12,107,80,158,93,58,87,34,127,132,51,27,135,18,37,231,224,16,221,6,158,268,25,203,391,534,75,285,47,542,657,6,99,20,196,96,109,293,135,119,82,72,349,275,264,13,NA,NA
2022-02-08,29,217,255,178,271,84,156,47,367,309,140,87,206,38,120,440,231,14,369,13,355,249,27,493,841,635,134,310,76,816,634,16,202,15,200,220,202,247,66,126,186,141,365,312,222,24,NA,NA
2022-02-09,28,293,355,238,390,99,166,47,526,392,183,118,186,33,132,592,252,33,509,24,455,353,27,619,1097,871,131,289,74,921,565,30,282,29,251,321,254,450,117,137,267,160,481,377,178,19,NA,NA
2022-02-10,21,299,361,248,378,112,256,38,464,365,153,110,176,28,161,538,250,31,479,20,518,342,21,631,1132,880,116,397,72,1104,1123,28,273,28,202,274,254,391,165,161,278,197,391,442,188,17,NA,NA
2022-02-11,11,246,252,176,260,78,181,42,352,282,147,83,201,27,116,451,191,22,433,4,299,216,10,441,739,535,93,246,53,708,823,28,176,35,155,220,156,450,49,86,215,114,228,330,108,25,NA,NA
2022-02-12,33,217,157,258,161,98,110,37,296,298,82,74,175,25,69,372,357,18,444,28,234,517,11,305,718,802,83,316,61,687,953,14,162,33,252,113,150,603,188,316,158,71,462,408,167,92,NA,NA
2022-02-13,15,58,48,73,73,42,53,47,92,65,57,22,145,5,41,179,372,9,110,20,68,95,15,120,216,164,70,90,36,111,304,14,57,17,71,56,47,505,45,25,52,40,138,131,55,8,NA,NA
2022-02-14,40,256,297,233,358,116,234,34,482,374,142,101,171,52,123,475,224,24,507,21,439,387,25,573,1078,843,120,380,77,963,1039,20,246,36,267,278,225,391,157,135,259,193,467,390,183,36,NA,NA
2022-02-15,36,316,384,309,395,129,186,52,516,437,156,127,165,40,154,576,277,31,541,14,522,411,24,658,1206,957,111,410,95,1168,1135,22,280,44,244,272,254,357,157,187,307,172,522,480,200,47,NA,NA
2022-02-16,37,326,347,243,350,105,225,51,567,431,135,114,140,41,146,556,274,28,444,26,481,390,74,590,1213,913,139,375,111,1065,1136,27,284,45,264,282,247,444,136,188,302,166,473,428,215,24,NA,NA
2022-02-17,44,287,335,313,326,106,225,38,501,398,123,92,182,49,126,543,243,34,512,13,432,344,28,602,1129,870,133,366,75,1062,1160,24,290,38,241,302,238,378,117,139,250,165,420,499,192,55,NA,NA
2022-02-18,27,270,253,269,307,88,220,45,418,340,132,108,154,39,153,469,176,16,516,20,428,340,7,640,1043,729,148,356,89,899,1118,17,258,46,253,274,200,454,142,180,253,125,476,407,210,35,NA,NA
2022-02-19,68,198,121,264,170,100,122,57,216,268,92,63,137,19,81,337,236,15,337,39,265,518,26,347,713,894,166,426,59,698,1030,11,132,43,302,136,192,596,192,252,116,76,489,398,223,82,NA,NA
